YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-07-01;--:--;    106.387;   -999.000;   0
1959-08-01;--:--;     52.710;   -999.000;   0
1959-09-01;--:--;     71.433;   -999.000;   0
1959-10-01;--:--;     70.323;   -999.000;   0
1959-11-01;--:--;    103.500;   -999.000;   0
1959-12-01;--:--;    303.710;   -999.000;   0
1960-01-01;--:--;    499.677;   -999.000;   0
1960-02-01;--:--;    508.621;   -999.000;   0
1960-03-01;--:--;    659.355;   -999.000;   0
1960-04-01;--:--;    244.167;   -999.000;   0
1960-05-01;--:--;    109.000;   -999.000;   0
1960-06-01;--:--;     65.933;   -999.000;   0
1960-07-01;--:--;     68.516;   -999.000;   0
1960-08-01;--:--;    132.452;   -999.000;   0
1960-09-01;--:--;    193.333;   -999.000;   0
1960-10-01;--:--;    571.129;   -999.000;   0
1960-11-01;--:--;    690.333;   -999.000;   0
1960-12-01;--:--;    448.710;   -999.000;   0
1961-01-01;--:--;    680.000;   -999.000;   0
1961-02-01;--:--;    821.786;   -999.000;   0
1961-03-01;--:--;    238.871;   -999.000;   0
1961-04-01;--:--;    145.500;   -999.000;   0
1961-05-01;--:--;    131.548;   -999.000;   0
1961-06-01;--:--;    126.633;   -999.000;   0
1961-07-01;--:--;     68.323;   -999.000;   0
1961-08-01;--:--;     61.226;   -999.000;   0
1961-09-01;--:--;     32.167;   -999.000;   0
1961-10-01;--:--;     72.290;   -999.000;   0
1961-11-01;--:--;    172.333;   -999.000;   0
1961-12-01;--:--;    374.839;   -999.000;   0
1962-01-01;--:--;    585.806;   -999.000;   0
1962-02-01;--:--;    395.357;   -999.000;   0
1962-03-01;--:--;    498.710;   -999.000;   0
1962-04-01;--:--;    711.667;   -999.000;   0
1962-05-01;--:--;    386.129;   -999.000;   0
1962-06-01;--:--;    159.600;   -999.000;   0
1962-07-01;--:--;     67.258;   -999.000;   0
1962-08-01;--:--;     38.419;   -999.000;   0
1962-09-01;--:--;     33.967;   -999.000;   0
1962-10-01;--:--;     34.903;   -999.000;   0
1962-11-01;--:--;    102.633;   -999.000;   0
1962-12-01;--:--;    274.677;   -999.000;   0
1963-01-01;--:--;    368.516;   -999.000;   0
1963-02-01;--:--;    298.536;   -999.000;   0
1963-03-01;--:--;    582.806;   -999.000;   0
1963-04-01;--:--;    650.767;   -999.000;   0
1963-05-01;--:--;    274.097;   -999.000;   0
1963-06-01;--:--;    391.033;   -999.000;   0
1963-07-01;--:--;    230.742;   -999.000;   0
1963-08-01;--:--;    243.710;   -999.000;   0
1963-09-01;--:--;    185.667;   -999.000;   0
1963-10-01;--:--;    112.194;   -999.000;   0
1963-11-01;--:--;    432.400;   -999.000;   0
1963-12-01;--:--;    256.903;   -999.000;   0
