date,Q_grdc_m3s,Q_model_raw_m3s,Q_model_annual_fdc_m3s,Q_model_two_season_fdc_m3s,Q_model_four_season_fdc_m3s,month,two_season,four_season
1999-11-24,1577.0,4015.114013671875,2484.242774388163,2158.3391388476216,1939.4122578489228,11,jul_dec,herfst
1999-11-25,1540.0,3919.048828125,2445.6124752843,2135.6337958964577,1922.9440498286663,11,jul_dec,herfst
1999-11-26,1532.0,3858.46240234375,2418.098792777078,2119.8536206623944,1913.624295168924,11,jul_dec,herfst
1999-11-27,1549.0,3825.491455078125,2403.062710908887,2109.015867430079,1906.2530738300861,11,jul_dec,herfst
1999-11-28,1559.0,3795.770263671875,2389.499358188157,2097.432765779372,1899.2519190924095,11,jul_dec,herfst
1999-11-29,1586.0,3743.71630859375,2369.006602922014,2078.8394598263963,1885.572403670609,11,jul_dec,herfst
1999-11-30,1578.0,3649.6455078125,2330.449287574286,2049.616283332082,1866.7402049132377,11,jul_dec,herfst
1999-12-01,1562.0,3514.500244140625,2270.741103993392,1998.0727533217296,2287.608680272805,12,jul_dec,winter
1999-12-02,1540.0,3347.554443359375,2206.870187900197,1956.8609323931357,2210.048653554483,12,jul_dec,winter
1999-12-03,1519.0,3179.92041015625,2136.9444643615243,1909.1868016254332,2143.213636924077,12,jul_dec,winter
1999-12-04,1495.0,3023.51220703125,2068.4086002016948,1857.53854734364,2081.1200128743294,12,jul_dec,winter
1999-12-05,1499.0,2892.804931640625,2016.0138920049867,1806.4196079546577,2037.0197693379457,12,jul_dec,winter
1999-12-06,1534.0,2809.8251953125,1985.7368726477582,1778.2657494273772,1998.61457943797,12,jul_dec,winter
1999-12-07,1718.0,2826.603759765625,1991.2840974359078,1784.9062924497932,2004.3928368640109,12,jul_dec,winter
1999-12-08,1984.0,2933.11865234375,2031.4857568952928,1819.3732803531539,2049.5811631625847,12,jul_dec,winter
1999-12-09,2136.0,3114.653564453125,2114.217387260102,1888.919667583921,2126.8681644254925,12,jul_dec,winter
1999-12-10,2140.0,3327.997802734375,2199.7851615516797,1950.5305148788093,2200.724430846695,12,jul_dec,winter
1999-12-11,2129.0,3610.46875,2312.6184695094285,2038.88242371699,2339.741751291908,12,jul_dec,winter
1999-12-12,2204.0,4194.6201171875,2556.02842551325,2207.3844668071188,2602.19021851922,12,jul_dec,winter
1999-12-13,2562.0,5203.9697265625,3000.65549835337,2528.2146305823294,3103.382103515712,12,jul_dec,winter
1999-12-14,3404.0,6489.1630859375,3587.788890294574,2975.631543402531,3682.152113807121,12,jul_dec,winter
1999-12-15,4239.0,7700.25927734375,4196.456855561505,3606.329424592555,4185.2367791173565,12,jul_dec,winter
1999-12-16,4676.0,8489.140625,4581.805784336055,3948.284442198031,4488.813020817789,12,jul_dec,winter
1999-12-17,4808.0,8849.0927734375,4798.767708340264,4153.432340657279,4664.657793393392,12,jul_dec,winter
1999-12-18,4530.0,8980.0751953125,4893.758950115041,4210.608836228132,4773.531057551991,12,jul_dec,winter
1999-12-19,4083.0,9214.4169921875,5063.708611804247,4299.391651738072,4890.8005133637125,12,jul_dec,winter
1999-12-20,3796.0,9700.9658203125,5305.468831396392,4478.160437129095,5144.928569468261,12,jul_dec,winter
1999-12-21,3999.0,10265.388671875,5621.760356165573,4659.299956935682,5415.959759410774,12,jul_dec,winter
1999-12-22,4516.0,10597.171875,5861.882924277823,4817.470768902679,5617.813861674088,12,jul_dec,winter
1999-12-23,4934.0,10547.09765625,5825.64254233801,4782.948093270728,5587.347438717241,12,jul_dec,winter
1999-12-24,4858.0,10180.666015625,5560.443744581783,4632.110020831254,5372.4947514353435,12,jul_dec,winter
1999-12-25,4315.0,9682.806640625,5296.646458886233,4472.33263430437,5137.023417550034,12,jul_dec,winter
1999-12-26,3913.0,9603.25390625,5257.996923558316,4446.706541634047,5102.392092701278,12,jul_dec,winter
1999-12-27,4213.0,10109.1630859375,5508.6946899509385,4609.162675038108,5335.81181977698,12,jul_dec,winter
1999-12-28,5185.0,10973.6298828125,6134.338138318004,5077.012265848378,5856.12881246027,12,jul_dec,winter
1999-12-29,6151.0,11777.2587890625,6733.737066870054,5624.24315738704,6409.071316297298,12,jul_dec,winter
1999-12-30,6604.0,12246.6640625,7084.899188892913,5875.215653999636,6744.171002745736,12,jul_dec,winter
1999-12-31,6555.0,12357.3505859375,7167.70378579274,5934.395375022043,6819.746162151389,12,jul_dec,winter
2000-01-01,6224.0,12231.669921875,7073.682071110607,7394.107320962464,6733.9332201079515,1,jan_jun,winter
2000-01-02,5610.0,11912.46484375,6834.884727028846,7168.38500583827,6507.149530208546,1,jan_jun,winter
2000-01-03,4945.0,11385.142578125,6440.394898589728,6800.023570747059,6128.707695682182,1,jan_jun,winter
