PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
,7.544587674601644e-07,5.871449583451436e-18,-1.8016060384374216e-21,4.183979551708461e-14,-5.910340217241128e-09,-4.1890935165156407e-08,5.684960093077355e-16,2.3218189523777077e-14,1.0110289019963367e-15,7.119073397194448e-14,0.0,0.4510884738939769
,5.941835752309998e-07,5.7116333260225155e-18,1.7787588494763738e-20,4.108345608155872e-14,-5.907244471359263e-09,-4.1862620037136367e-08,5.678487173173556e-16,2.289704884028687e-14,1.010560704534742e-15,7.07291281207452e-14,0.0,0.3487983118442306
,4.6789600105512363e-07,5.7114149503408015e-18,2.0770783062193554e-20,4.054222235705396e-14,-5.90396531663373e-09,-4.183334922913673e-08,5.671548914544359e-16,2.2648332861918696e-14,1.0094697260986784e-15,7.0387929697064e-14,0.0,0.2682045641875174
,3.6845986528533103e-07,5.711212291090726e-18,2.1224866444393953e-20,4.559894128952635e-14,-5.9007674302336e-09,-4.180500567940726e-08,5.664720240802714e-16,2.4349229230113956e-14,1.0082759390386419e-15,7.255682193301263e-14,0.0,0.20475055076971102
,2.90189291263232e-07,5.711031138536577e-18,2.1293771235654474e-20,4.3793961512772484e-14,-3.2966442908843874e-09,-4.177897139356901e-08,5.658354258808505e-16,2.3768096865661725e-14,1.0071249271424417e-15,7.175997399381726e-14,0.0,0.1564661764422686
,2.2859592263557715e-07,5.71088307320693e-18,2.1304036676303228e-20,4.170795653291037e-14,-6.230246318850163e-10,-4.175600665234924e-08,5.6527124899842e-16,2.3105432497838585e-14,1.0060973702983038e-15,7.090100804640204e-14,0.0,0.11886994735207884
,1.8009140489994024e-07,5.710737075828814e-18,2.1305400231844233e-20,4.20800547185074e-14,-1.1770216745699003e-10,-4.173478629354577e-08,5.647437062909582e-16,2.3257871323290047e-14,1.005127623452816e-15,7.10324675598159e-14,0.0,0.08824364364794669
,1.4186633734425413e-07,5.710582393054267e-18,2.1305397000669965e-20,4.1717497512028245e-14,-2.2194619406223914e-11,-4.171251077877969e-08,5.641852468809216e-16,2.3091121029161776e-14,1.0041058899601905e-15,7.080528654709872e-14,0.0,0.06391820453787625
,1.1175619363257283e-07,5.710435568495539e-18,2.1305188589929693e-20,4.1631628699967393e-14,-4.143438196713145e-12,-4.169016420974003e-08,5.6362514634454965e-16,2.3028887824461108e-14,1.0030782272369343e-15,7.069339010663464e-14,0.0,0.04472345539774169
,8.803979767435521e-08,5.7102932934301796e-18,2.1304947867446743e-20,4.170275236248244e-14,-7.317534165413031e-13,-4.1668332784183804e-08,5.630761631156105e-16,2.3056860240511234e-14,1.0020670816561494e-15,7.067892956015911e-14,0.0,0.02960042340444386
,6.935677987485178e-08,5.710154327087271e-18,2.130471360731233e-20,4.1712293341600315e-14,-8.698028191797547e-14,-4.164668609973887e-08,5.625316268096443e-16,2.3045584537917385e-14,1.001065676954258e-15,7.064020999007423e-14,0.0,0.017688518360232934
,5.4628060297545744e-08,5.709997576361192e-18,2.130444865102237e-20,4.107478246417884e-14,3.483138392513033e-14,-4.162287936537723e-08,5.619275864391336e-16,2.2782123410003408e-14,9.999665458260772e-16,7.02658282036514e-14,0.0,0.008301847870136929
,4.302192024852047e-08,5.7098325538289875e-18,2.130417077003534e-20,4.1913521264813625e-14,5.779914985211757e-14,-4.159767641453982e-08,5.612858001629109e-16,2.3023900494467675e-14,9.988024049191946e-16,7.052704638832105e-14,0.0,0.0009092774713504831
,3.3876698779522485e-08,5.7096588459003514e-18,2.1303876733176972e-20,4.5145311100558416e-14,6.208131475256631e-14,-4.1570793030132336e-08,5.605999681734309e-16,2.4077745006123585e-14,9.975595958273357e-16,7.182123819282626e-14,0.0,-0.004911324456884189
,2.667238874209943e-08,5.70948348361049e-18,2.1303569771621533e-20,4.752882115655055e-14,6.283020029815636e-14,-4.154279764634339e-08,5.598843841516786e-16,2.485750320857516e-14,9.962725292639828e-16,7.27759256395448e-14,0.0,-0.00949225657138201
,2.1002685812732125e-08,5.7093312823777804e-18,2.1303312893267244e-20,4.405243531069303e-14,6.291645535724116e-14,-4.151624821702171e-08,5.592098812278682e-16,2.3691769032718746e-14,9.950585192923305e-16,7.122901986116037e-14,0.0,-0.013094516203594518
,1.6540807834530824e-08,-4.2371689490394715e-11,2.1303068939610026e-20,4.0647173127350555e-14,6.288144240333346e-14,-4.1491656332937055e-08,5.585888472588532e-16,2.2537093719021684e-14,9.939285773406933e-16,6.974423209099578e-14,0.0,-0.015954068911306248
,1.3025441170100294e-08,-4.229104913489046e-11,2.1302823370365674e-20,4.405070058721705e-14,6.281996136388995e-14,-4.146627929912938e-08,5.579454198562951e-16,2.3674421797958978e-14,9.927592483570087e-16,7.112861596372463e-14,0.0,-0.018181816846878356
,1.0256547611220412e-08,-4.221133512172237e-11,2.130257295435992e-20,5.703337108142748e-14,6.275175827097704e-14,-4.143977605508553e-08,5.572834106684567e-16,2.8023156711798336e-14,9.915538145939475e-16,7.663297486816198e-14,0.0,-0.01993233135654359
,8.076009194724065e-09,-4.2133345423689406e-11,2.130232738511557e-20,5.387010282298377e-14,6.268297919565999e-14,-4.141335807616997e-08,5.566250543102033e-16,2.6932015645408924e-14,9.90349651380307e-16,7.518902763858221e-14,0.0,-0.021307348453533
,6.3593907917436354e-09,-4.205871068085898e-11,2.130209474056829e-20,4.572037193284473e-14,6.261855048156004e-14,-4.1388641847106555e-08,5.560070378960629e-16,2.4213920798987765e-14,9.892191800330778e-16,7.167658529422596e-14,0.0,-0.0223873204046715
